time,open,high,low,close,amount,complete
2014-05-21 06:00:00,101.34,101.618,100.822,101.36,52367.0,True
2014-05-22 06:00:00,101.384,101.816,101.357,101.734,37654.0,True
2014-05-23 06:00:00,101.748,102.014,101.596,101.988,35285.0,True
2014-05-26 06:00:00,101.942,102.05,101.842,101.94,15241.0,True
2014-05-27 06:00:00,101.922,102.142,101.726,101.97,30570.0,True
2014-05-28 06:00:00,101.997,102.03,101.638,101.846,30120.0,True
2014-05-29 06:00:00,101.852,101.87,101.428,101.786,35026.0,True
2014-05-30 06:00:00,101.794,101.848,101.495,101.729,33947.0,True
2014-06-02 06:00:00,101.868,102.485,101.753,102.392,37453.0,True
2014-06-03 06:00:00,102.397,102.552,102.272,102.51,28746.0,True
2014-06-04 06:00:00,102.518,102.796,102.442,102.746,35289.0,True
2014-06-05 06:00:00,102.756,102.759,102.34,102.412,46034.0,True
2014-06-06 06:00:00,102.413,102.612,102.113,102.478,42687.0,True
2014-06-09 06:00:00,102.512,102.65,102.38,102.53,23217.0,True
2014-06-10 06:00:00,102.522,102.578,102.216,102.346,30085.0,True
2014-06-11 06:00:00,102.354,102.394,101.86,102.078,31550.0,True
2014-06-12 06:00:00,102.076,102.144,101.605,101.698,34253.0,True
2014-06-13 06:00:00,101.708,102.138,101.656,102.026,35430.0,True
2014-06-16 06:00:00,102.046,102.082,101.722,101.84,25532.0,True
2014-06-17 06:00:00,101.836,102.242,101.816,102.15,27310.0,True
2014-06-18 06:00:00,102.142,102.386,101.882,101.93,36308.0,True
2014-06-19 06:00:00,101.92,102.002,101.742,101.941,25986.0,True
2014-06-20 06:00:00,101.954,102.196,101.818,102.077,22125.0,True
2014-06-23 06:00:00,102.108,102.137,101.818,101.94,20943.0,True
2014-06-24 06:00:00,101.94,102.168,101.819,101.974,23420.0,True
2014-06-25 06:00:00,101.966,101.988,101.624,101.875,25695.0,True
2014-06-26 06:00:00,101.876,101.877,101.488,101.729,26388.0,True
2014-06-27 06:00:00,101.726,101.736,101.316,101.443,25815.0,True
2014-06-30 06:00:00,101.412,101.476,101.238,101.333,22112.0,True
2014-07-01 06:00:00,101.334,101.595,101.292,101.525,26320.0,True
2014-07-02 06:00:00,101.524,101.844,101.412,101.777,24473.0,True
2014-07-03 06:00:00,101.774,102.268,101.76,102.194,31397.0,True
2014-07-04 06:00:00,102.182,102.222,101.973,102.076,13448.0,True
2014-07-07 06:00:00,102.066,102.202,101.788,101.86,17975.0,True
2014-07-08 06:00:00,101.874,101.901,101.49,101.569,21441.0,True
2014-07-09 06:00:00,101.584,101.862,101.446,101.636,22893.0,True
2014-07-10 06:00:00,101.653,101.67,101.065,101.34,31091.0,True
2014-07-11 06:00:00,101.352,101.402,101.218,101.324,22057.0,True
2014-07-14 06:00:00,101.382,101.623,101.334,101.538,15926.0,True
2014-07-15 06:00:00,101.538,101.75,101.436,101.682,24892.0,True
2014-07-16 06:00:00,101.666,101.792,101.636,101.68,17804.0,True
2014-07-17 06:00:00,101.703,101.703,101.14,101.177,27499.0,True
2014-07-18 06:00:00,101.176,101.45,101.089,101.328,27609.0,True
2014-07-21 06:00:00,101.334,101.398,101.199,101.396,15576.0,True
2014-07-22 06:00:00,101.384,101.604,101.334,101.462,21410.0,True
2014-07-23 06:00:00,101.478,101.548,101.316,101.479,17428.0,True
2014-07-24 06:00:00,101.468,101.86,101.418,101.814,21788.0,True
2014-07-25 06:00:00,101.794,101.939,101.716,101.832,20754.0,True
2014-07-28 06:00:00,101.795,101.907,101.751,101.861,17421.0,True
2014-07-29 06:00:00,101.848,102.16,101.821,102.119,23296.0,True
2014-07-30 06:00:00,102.118,103.092,102.038,102.792,35794.0,True
2014-07-31 06:00:00,102.813,103.006,102.726,102.795,27880.0,True
2014-08-01 06:00:00,102.796,103.064,102.338,102.61,38048.0,True
2014-08-04 06:00:00,102.558,102.73,102.407,102.578,15013.0,True
2014-08-05 06:00:00,102.557,102.926,102.464,102.596,23638.0,True
2014-08-06 06:00:00,102.596,102.642,101.784,102.097,33719.0,True
2014-08-07 06:00:00,102.118,102.461,101.999,102.096,31421.0,True
2014-08-08 06:00:00,102.043,102.144,101.508,102.024,44570.0,True
2014-08-11 06:00:00,102.182,102.231,102.024,102.194,7808.0,True
2014-08-12 06:00:00,102.194,102.366,102.09,102.258,7851.0,True
2014-08-13 06:00:00,102.258,102.545,102.222,102.416,8888.0,True
2014-08-14 06:00:00,102.437,102.66,102.312,102.452,8270.0,True
2014-08-15 06:00:00,102.452,102.718,102.136,102.357,14787.0,True
2014-08-18 06:00:00,102.329,102.598,102.248,102.57,6259.0,True
2014-08-19 06:00:00,102.558,102.93,102.52,102.914,7160.0,True
2014-08-20 06:00:00,102.934,103.852,102.89,103.76,15019.0,True
2014-08-21 06:00:00,103.778,103.964,103.598,103.848,10172.0,True
2014-08-22 06:00:00,103.848,104.198,103.504,103.946,18513.0,True
2014-08-25 06:00:00,104.274,104.276,103.862,104.056,9197.0,True
2014-08-26 06:00:00,104.038,104.176,103.748,104.064,9984.0,True
2014-08-27 06:00:00,104.064,104.164,103.779,103.88,8854.0,True
2014-08-28 06:00:00,103.88,103.926,103.556,103.726,11516.0,True
2014-08-29 06:00:00,103.74,104.12,103.654,104.08,9277.0,True
